entry_id	type	title	headword	gloss	has_etymology	sense_count	word_count	char_count	filename
7.3	dictionary	"vorpal ""diced"""	vorpal	diced	True	4	174	1084	dictionary/7.3_vorpal_diced.md
7.4	dictionary	"kyriel ""gamut"""	kyriel	gamut	True	5	156	1013	dictionary/7.4_kyriel_gamut.md
7.5	notes	The Terrene Tax			False	0	289	1810	notes/7.5_The_Terrene_Tax.md
8.1	notes	Independent Provence			False	0	272	1728	notes/8.1_Independent_Provence.md
8.2	dictionary	"sviðour ""fan"""	sviðour	fan	True	3	188	1134	dictionary/8.2_sviðour_fan.md
8.3	dictionary	"goðamer ""bigoted"""	goðamer	bigoted	True	3	205	1462	dictionary/8.3_goðamer_bigoted.md
8.4	dictionary	"quagl ""quail, curds"""	quagl	quail, curds	True	4	238	1438	dictionary/8.4_quagl_quail_curds.md
8.5	notes	Vikings in Dumnonia			False	0	317	1921	notes/8.5_Vikings_in_Dumnonia.md
9.1	notes	A Complete Woman			False	0	245	1426	notes/9.1_A_Complete_Woman.md
9.2	dictionary	"fabr ""tale"""	fabr	tale	True	4	192	1185	dictionary/9.2_fabr_tale.md
9.3	dictionary	"vivirc ""leeway"""	vivirc	leeway	True	3	242	1535	dictionary/9.3_vivirc_leeway.md
9.4	dictionary	"vabian closnautr ""ramshackle"""	vabian closnautr	ramshackle	True	3	201	1347	dictionary/9.4_vabian_closnautr_ramshackle.md
9.5	notes	Roman-Celtic Syncretism			False	0	270	1658	notes/9.5_Roman-Celtic_Syncretism.md
10.1	excerpt	The Emeralds are a Red Herring			False	0	314	1767	excerpt/10.1_The_Emeralds_are_a_Red_Herring.md
10.2	dictionary	"sbolognment ""burden"""	sbolognment	burden	True	2	122	887	dictionary/10.2_sbolognment_burden.md
10.3	dictionary	"outrscac ""brazen"""	outrscac	brazen	True	3	158	1066	dictionary/10.3_outrscac_brazen.md
10.4	dictionary	"gam sgarant ""wanderlust"""	gam sgarant	wanderlust	True	2	136	891	dictionary/10.4_gam_sgarant_wanderlust.md
10.5	excerpt	Middlesea Meals			False	6	304	1787	excerpt/10.5_Middlesea_Meals.md
11.1	notes	Developments in Philosophy			False	0	257	1591	notes/11.1_Developments_in_Philosophy.md
11.2	dictionary	scompigl “turmoil”			True	2	140	943	dictionary/11.2_scompigl_turmoil.md
11.3	dictionary	udomintel “babysitter”			True	2	143	960	dictionary/11.3_udomintel_babysitter.md
11.4	dictionary	vunnastr “merry”			True	3	157	1011	dictionary/11.4_vunnastr_merry.md
11.5	notes	14C Manoscard Music			False	0	321	2034	notes/11.5_14C_Manoscard_Music.md
12.1	notes	Flaxen Hearts			False	0	270	1671	notes/12.1_Flaxen_Hearts.md
12.2	dictionary	"scarrad yarcer ""crossword"""	scarrad yarcer	crossword	True	3	154	1087	dictionary/12.2_scarrad_yarcer_crossword.md
12.3	dictionary	"moðnaut ""sailor"""	moðnaut	sailor	True	2	164	1120	dictionary/12.3_moðnaut_sailor.md
12.4	dictionary	"flaðrar ""climb"""	flaðrar	climb	True	3	136	884	dictionary/12.4_flaðrar_climb.md
12.5	notes	Linguistic Exam Questions			False	0	264	1719	notes/12.5_Linguistic_Exam_Questions.md
13.1	excerpt	Early Borlish History			False	0	243	1383	excerpt/13.1_Early_Borlish_History.md
13.2	dictionary	"hortumesc ""filthy"""	hortumesc	filthy	True	2	138	968	dictionary/13.2_hortumesc_filthy.md
13.3	dictionary	"groglon ""brook"""	groglon	brook	True	2	148	860	dictionary/13.3_groglon_brook.md
13.4	dictionary	"jolleistr ""jaunt"""	jolleistr	jaunt	True	2	141	896	dictionary/13.4_jolleistr_jaunt.md
13.5	notes	Roxa Comba Newspaper			False	1	280	1790	notes/13.5_Roxa_Comba_Newspaper.md
14.1	excerpt	Pennackit Dysentery			False	0	246	1485	excerpt/14.1_Pennackit_Dysentery.md
14.2	dictionary	"gimmoldr ""toil"""	gimmoldr	toil	True	4	179	1077	dictionary/14.2_gimmoldr_toil.md
14.3	dictionary	"vesson ""outfit"""	vesson	outfit	True	2	113	667	dictionary/14.3_vesson_outfit.md
14.4	dictionary	"ja galað ""come to that"""	ja galað	come to that	True	2	173	1047	dictionary/14.4_ja_galað_come_to_that.md
14.5	notes	Ambrose III of Vascony			False	0	435	2645	notes/14.5_Ambrose_III_of_Vascony.md
15.1	excerpt	Apollo on Holiday			False	0	244	1409	excerpt/15.1_Apollo_on_Holiday.md
15.2	dictionary	"youdar ""numb"""	youdar	numb	True	3	139	850	dictionary/15.2_youdar_numb.md
15.3	dictionary	"ustolment ""manners"""	ustolment	manners	True	2	148	989	dictionary/15.3_ustolment_manners.md
15.4	dictionary	"ouveg ""sullen"""	ouveg	sullen	True	2	125	797	dictionary/15.4_ouveg_sullen.md
15.5	notes	The Second Great Dying			False	0	265	1625	notes/15.5_The_Second_Great_Dying.md
16.1	excerpt	To Save a Life			False	0	238	1362	excerpt/16.1_To_Save_a_Life.md
16.2	dictionary	"lovastr ""chatty"""	lovastr	chatty	True	3	160	1035	dictionary/16.2_lovastr_chatty.md
16.3	dictionary	"kenopleus ""space travel"""	kenopleus	space travel	True	1	132	877	dictionary/16.3_kenopleus_space_travel.md
16.4	dictionary	"jubon ""doublet"""	jubon	doublet	True	2	136	867	dictionary/16.4_jubon_doublet.md
16.5	notes	Adaillé Nassow & Absolon Mortenszen			False	0	293	1736	notes/16.5_Adaillé_Nassow_Absolon_Mortenszen.md
17.1	excerpt	These Lamplit Streets			False	0	290	1579	excerpt/17.1_These_Lamplit_Streets.md
17.2	dictionary	"yettar ""fling"""	yettar	fling	True	2	127	793	dictionary/17.2_yettar_fling.md
17.3	dictionary	"rascettongar ""sparkle"""	rascettongar	sparkle	True	3	131	942	dictionary/17.3_rascettongar_sparkle.md
17.4	dictionary	"orbeutar ""swindle"""	orbeutar	swindle	True	2	127	863	dictionary/17.4_orbeutar_swindle.md
17.5	notes	Significant Figures			False	0	355	2301	notes/17.5_Significant_Figures.md
18.1	notes	On the Torriot			False	0	297	1866	notes/18.1_On_the_Torriot.md
18.2	dictionary	"kigmau ""lardons"""	kigmau	lardons	True	1	182	1142	dictionary/18.2_kigmau_lardons.md
18.3	dictionary	"yevot ""scope"""	yevot	scope	True	2	120	822	dictionary/18.3_yevot_scope.md
18.4	dictionary	"parsir ""learn"""	parsir	learn	True	3	144	871	dictionary/18.4_parsir_learn.md
18.5	notes	Significant Figures, cont.			False	0	379	2252	notes/18.5_Significant_Figures_cont.md
19.1	excerpt	The Borland-Willemy Telegraph			False	0	265	1581	excerpt/19.1_The_Borland-Willemy_Telegraph.md
19.2	dictionary	"farrago ""hash"""	farrago	hash	True	2	90	602	dictionary/19.2_farrago_hash.md
19.3	dictionary	"illabond ""collapsible"""	illabond	collapsible	True	3	135	917	dictionary/19.3_illabond_collapsible.md
19.4	dictionary	"xiphar ""scimitar"""	xiphar	scimitar	True	3	127	850	dictionary/19.4_xiphar_scimitar.md
19.5	notes	The Winter Feast			False	2	391	2549	notes/19.5_The_Winter_Feast.md
20.1	excerpt	Disinfectant			False	0	257	1545	excerpt/20.1_Disinfectant.md
20.2	dictionary	"ja oc eus ""just as well"""	ja oc eus	just as well	True	1	183	1090	dictionary/20.2_ja_oc_eus_just_as_well.md
20.3	dictionary	"y jainç tauger ""the long game"""	y jainç tauger	the long game	True	3	200	1261	dictionary/20.3_y_jainç_tauger_the_long_game.md
20.4	dictionary	"doujug veunt ""ecosystem"""	doujug veunt	ecosystem	True	2	150	1007	dictionary/20.4_doujug_veunt_ecosystem.md
20.5	notes	A University, and Twins			False	7	381	2358	notes/20.5_A_University_and_Twins.md
21.1	notes	The Midnight Impostor			False	0	281	1705	notes/21.1_The_Midnight_Impostor.md
21.2	dictionary	"uvrautr ""fertile"""	uvrautr	fertile	True	3	138	959	dictionary/21.2_uvrautr_fertile.md
21.3	dictionary	"yert ""awake"""	yert	awake	True	3	176	1029	dictionary/21.3_yert_awake.md
21.4	dictionary	"quomodolibet ""libertine"""	quomodolibet	libertine	True	2	98	748	dictionary/21.4_quomodolibet_libertine.md
21.5	notes	Kent			False	5	505	3116	notes/21.5_Kent.md
22.1	excerpt	The Mysarnos Codex			False	0	232	1409	excerpt/22.1_The_Mysarnos_Codex.md
22.2	dictionary	"quaðeglad ""campus"""	quaðeglad	campus	True	2	119	848	dictionary/22.2_quaðeglad_campus.md
22.3	dictionary	"soumonir ""reference"""	soumonir	reference	True	2	122	799	dictionary/22.3_soumonir_reference.md
22.4	dictionary	"hey ""fence"""	hey	fence	True	3	157	927	dictionary/22.4_hey_fence.md
22.5	notes	The Long Peace			False	3	350	2253	notes/22.5_The_Long_Peace.md
23.1	excerpt	The Girdled World			False	0	270	1616	excerpt/23.1_The_Girdled_World.md
23.2	dictionary	"augrimar ""to calculate"""	augrimar	to calculate	True	3	132	967	dictionary/23.2_augrimar_to_calculate.md
23.3	dictionary	"annexar ""supplement"""	annexar	supplement	True	3	119	817	dictionary/23.3_annexar_supplement.md
23.4	dictionary	"roglfiar ""to rust"""	roglfiar	to rust	True	4	155	1010	dictionary/23.4_roglfiar_to_rust.md
23.5	notes	The Brethin Order			False	0	281	1785	notes/23.5_The_Brethin_Order.md
24.1	notes	Classical Borland			False	0	289	1775	notes/24.1_Classical_Borland.md
24.2	dictionary	"sagntroðes ""priestess"""	sagntroðes	priestess	True	2	125	880	dictionary/24.2_sagntroðes_priestess.md
24.3	dictionary	"gaddar ""screw"""	gaddar	screw	True	3	123	725	dictionary/24.3_gaddar_screw.md
24.4	dictionary	"quariçtovar ""sabotage"""	quariçtovar	sabotage	True	2	138	989	dictionary/24.4_quariçtovar_sabotage.md
24.5	notes	Elsebeth Sneider			False	0	254	1599	notes/24.5_Elsebeth_Sneider.md
25.1	excerpt	Josua Monçating			False	0	241	1519	excerpt/25.1_Josua_Monçating.md
25.2	dictionary	"scon stemn ""second (cousin)"""	scon stemn	second (cousin)	True	2	133	898	dictionary/25.2_scon_stemn_second_cousin.md
25.3	dictionary	"querellabr ""controversial"""	querellabr	controversial	True	2	107	821	dictionary/25.3_querellabr_controversial.md
25.4	dictionary	"cossy sceint ""as such"""	cossy sceint	as such	True	2	168	1023	dictionary/25.4_cossy_sceint_as_such.md
25.5	notes	Borlish borrowings into English			False	0	340	2268	notes/25.5_Borlish_borrowings_into_English.md
26.1	excerpt	The Early Tachygraph			False	0	228	1414	excerpt/26.1_The_Early_Tachygraph.md
26.2	dictionary	"debriscellisar ""cut back"""	debriscellisar	cut back	True	3	118	790	dictionary/26.2_debriscellisar_cut_back.md
26.3	dictionary	"madarc ""beat cop"""	madarc	beat cop	True	2	115	721	dictionary/26.3_madarc_beat_cop.md
26.4	dictionary	"coutoccar ""poke"""	coutoccar	poke	True	3	125	801	dictionary/26.4_coutoccar_poke.md
26.5	notes	Borland			False	0	4105	26275	notes/26.5_Borland.md
27.1	notes	The Witch of Tebjacka			False	0	225	1281	notes/27.1_The_Witch_of_Tebjacka.md
27.2	dictionary	coram “in person”			True	2	137	901	dictionary/27.2_coram_in_person.md
27.3	dictionary	kireðam “wholeheartedly”			True	2	137	1005	dictionary/27.3_kireðam_wholeheartedly.md
27.4	dictionary	"niaç a fuyo aïr ""live in sin"""	niaç a fuyo aïr	live in sin	True	1	169	1030	dictionary/27.4_niaç_a_fuyo_aïr_live_in_sin.md
27.5	notes	New Provence			False	0	270	1735	notes/27.5_New_Provence.md
28.1	excerpt	A Door, Once Opened			False	0	274	1628	excerpt/28.1_A_Door_Once_Opened.md
28.2	dictionary	"y parol robar ""to choose one's words"""	y parol robar	to choose one's words	True	2	141	901	dictionary/28.2_y_parol_robar_to_choose_ones_words.md
28.3	dictionary	"jamir ""complain"""	jamir	complain	True	2	87	602	dictionary/28.3_jamir_complain.md
28.4	dictionary	"neðolmar ""comply"""	neðolmar	comply	True	3	118	709	dictionary/28.4_neðolmar_comply.md
28.5	notes	Saxony and Libya			False	0	482	3017	notes/28.5_Saxony_and_Libya.md
29.1	excerpt	A Letter from Bervisson			False	0	277	1640	excerpt/29.1_A_Letter_from_Bervisson.md
29.2	dictionary	"treublar ""annoy"""	treublar	annoy	True	2	126	794	dictionary/29.2_treublar_annoy.md
29.3	dictionary	"vessonary ""catalogue"""	vessonary	catalogue	True	3	142	988	dictionary/29.3_vessonary_catalogue.md
29.4	dictionary	"daugnam ""prat"""	daugnam	prat	True	3	166	1103	dictionary/29.4_daugnam_prat.md
29.5	notes	Morrack			False	0	424	2732	notes/29.5_Morrack.md
30.1	notes	The Early Tachygraph			False	0	244	1541	notes/30.1_The_Early_Tachygraph.md
30.2	dictionary	"evier ""sink"""	evier	sink	True	2	95	589	dictionary/30.2_evier_sink.md
30.3	dictionary	"costojar ""protect"""	costojar	protect	True	3	120	777	dictionary/30.3_costojar_protect.md
30.4	dictionary	"baury ""panic"""	baury	panic	True	2	129	815	dictionary/30.4_baury_panic.md
30.5	notes	Masquira Romance			False	0	568	3663	notes/30.5_Masquira_Romance.md
31.1	excerpt	2-D Geometry			False	0	261	1496	excerpt/31.1_2-D_Geometry.md
31.2	dictionary	vellisquar “scheme”			True	2	135	932	dictionary/31.2_vellisquar_scheme.md
31.3	dictionary	guyer “anti-clockwise”			True	2	123	861	dictionary/31.3_guyer_anti-clockwise.md
31.4	dictionary	bacchabond “Dionysian”			True	2	149	1031	dictionary/31.4_bacchabond_Dionysian.md
31.5	notes	The Deviance movement			False	0	563	3694	notes/31.5_The_Deviance_movement.md
32.1	excerpt	A Bookshop			False	0	232	1303	excerpt/32.1_A_Bookshop.md
32.2	dictionary	"suðel ""patch"""	suðel	patch	True	3	136	822	dictionary/32.2_suðel_patch.md
32.3	dictionary	"oblimanç ""passion"""	oblimanç	passion	True	2	187	1233	dictionary/32.3_oblimanç_passion.md
32.4	dictionary	"vraseyant ""impressive"""	vraseyant	impressive	True	2	120	860	dictionary/32.4_vraseyant_impressive.md
32.5	notes	Monarchs of Borland			False	0	251	1487	notes/32.5_Monarchs_of_Borland.md
33.1	excerpt	Film Review			False	0	235	1405	excerpt/33.1_Film_Review.md
33.2	dictionary	"çavel ""brain"""	çavel	brain	True	3	121	774	dictionary/33.2_çavel_brain.md
33.3	dictionary	"zantr ""zenith"""	zantr	zenith	True	4	161	987	dictionary/33.3_zantr_zenith.md
33.4	dictionary	"gur ""dread"""	gur	dread	True	3	145	831	dictionary/33.4_gur_dread.md
33.5	notes	The Wars of Fealty			False	0	424	2625	notes/33.5_The_Wars_of_Fealty.md
34.1	notes	Wearing a Mask or a Suit			False	0	248	1374	notes/34.1_Wearing_a_Mask_or_a_Suit.md
34.2	dictionary	"sbay ""gawp"""	sbay	gawp	True	1	114	749	dictionary/34.2_sbay_gawp.md
34.3	dictionary	"dagaðy ""here and there"""	dagaðy	here and there	True	2	84	546	dictionary/34.3_dagaðy_here_and_there.md
34.4	dictionary	"fallout ""venture"""	fallout	venture	True	3	109	705	dictionary/34.4_fallout_venture.md
34.5	notes	The Drengot Collusion			False	0	389	2530	notes/34.5_The_Drengot_Collusion.md
35.1	notes	Going to Brasil			False	0	266	1610	notes/35.1_Going_to_Brasil.md
35.2	dictionary	"zillapr ""buttercup"""	zillapr	buttercup	True	1	107	774	dictionary/35.2_zillapr_buttercup.md
35.3	dictionary	"lon fregn ""undoubtedly"""	lon fregn	undoubtedly	True	3	173	1049	dictionary/35.3_lon_fregn_undoubtedly.md
35.4	dictionary	"heilant ""dry land"""	heilant	dry land	True	2	113	673	dictionary/35.4_heilant_dry_land.md
35.5	notes	Verona & War			False	0	358	2218	notes/35.5_Verona_War.md
36.1	excerpt	Heist Fiction			False	0	218	1330	excerpt/36.1_Heist_Fiction.md
36.2	dictionary	"goðou ""tunnel"""	goðou	tunnel	True	3	150	988	dictionary/36.2_goðou_tunnel.md
36.3	dictionary	"flagitar ""insist"""	flagitar	insist	True	3	110	739	dictionary/36.3_flagitar_insist.md
36.4	dictionary	"smuïr ""shatter"""	smuïr	shatter	True	3	119	754	dictionary/36.4_smuïr_shatter.md
36.5	notes	Wars and Rumours of Wars			False	0	316	1974	notes/36.5_Wars_and_Rumours_of_Wars.md
37.1	excerpt	The Letters in the Study			False	0	241	1372	excerpt/37.1_The_Letters_in_the_Study.md
37.2	dictionary	"seucq ""footpath"""	seucq	footpath	True	4	165	1020	dictionary/37.2_seucq_footpath.md
37.3	dictionary	"svattour ""scout"""	svattour	scout	True	3	181	1181	dictionary/37.3_svattour_scout.md
37.4	dictionary	"fouceur ""handsome"""	fouceur	handsome	True	3	159	1059	dictionary/37.4_fouceur_handsome.md
37.5	notes	Audio Extract			False	0	16	83	notes/37.5_Audio_Extract.md
38.1	excerpt	Scandal Abroad			False	0	250	1562	excerpt/38.1_Scandal_Abroad.md
38.2	dictionary	"teir ""to number"""	teir	to number	True	4	164	890	dictionary/38.2_teir_to_number.md
38.3	notes	quic “active”			True	3	110	685	notes/38.3_quic_active.md
38.4	dictionary	hiat “pause”			True	4	152	998	dictionary/38.4_hiat_pause.md
38.5	notes	Steeplepost			False	0	552	3595	notes/38.5_Steeplepost.md
39.1	excerpt	The Pinprick Eden			False	0	251	1440	excerpt/39.1_The_Pinprick_Eden.md
39.2	dictionary	"sovragl ""belt"""	sovragl	belt	True	2	129	867	dictionary/39.2_sovragl_belt.md
39.3	dictionary	"laur mettr coll'un man ""take matters into one's own hands"""	laur mettr coll'un man	take matters into one's own hands	True	4	215	1245	dictionary/39.3_laur_mettr_collun_man_take_matters_into_ones_own_hands.md
39.4	dictionary	"ençar voug ""be completely wrong"""	ençar voug	be completely wrong	True	3	164	1036	dictionary/39.4_ençar_voug_be_completely_wrong.md
39.5	notes	Andalus			False	0	311	2032	notes/39.5_Andalus.md
40.1	excerpt	Vikings in Northern France			False	0	289	1719	excerpt/40.1_Vikings_in_Northern_France.md
40.2	dictionary	"batman ""vigilante"""	batman	vigilante	True	3	279	1836	dictionary/40.2_batman_vigilante.md
40.3	dictionary	"oscbou ""porthole"""	oscbou	porthole	True	2	136	834	dictionary/40.3_oscbou_porthole.md
40.4	dictionary	"nell'eutað ""trendy"""	nell'eutað	trendy	True	1	121	838	dictionary/40.4_nelleutað_trendy.md
40.5	notes	Albion			False	0	664	4181	notes/40.5_Albion.md
41.1	excerpt	A Baptism of Fire			False	0	264	1588	excerpt/41.1_A_Baptism_of_Fire.md
41.2	dictionary	"batesm ""baptism"""	batesm	baptism	True	3	151	959	dictionary/41.2_batesm_baptism.md
41.3	dictionary	"orn ""order; rowan"""	orn	order; rowan	True	7	276	1776	dictionary/41.3_orn_order_rowan.md
41.4	dictionary	"soçavau ""aside"""	soçavau	aside	True	3	171	1071	dictionary/41.4_soçavau_aside.md
41.5	notes	Gurjat			False	1	200	1231	notes/41.5_Gurjat.md
42.1	excerpt	Flight of the Bluejay			False	0	229	1231	excerpt/42.1_Flight_of_the_Bluejay.md
42.2	dictionary	"lon-lembic ""teetotaller"""	lon-lembic	teetotaller	True	2	131	902	dictionary/42.2_lon-lembic_teetotaller.md
42.3	dictionary	"murðon ""ten thousand"""	murðon	ten thousand	True	2	179	1111	dictionary/42.3_murðon_ten_thousand.md
42.4	dictionary	"nervous ""confident"""	nervous	confident	True	4	135	905	dictionary/42.4_nervous_confident.md
42.5	notes	Two Pens			False	0	223	1343	notes/42.5_Two_Pens.md
43.1	excerpt	Mysarnos			False	0	228	1344	excerpt/43.1_Mysarnos.md
43.2	dictionary	"janualtað ""hindsight"""	janualtað	hindsight	True	2	117	838	dictionary/43.2_janualtað_hindsight.md
43.3	dictionary	"mordeth ""expedition"""	mordeth	expedition	True	4	200	1328	dictionary/43.3_mordeth_expedition.md
43.4	dictionary	"toxen ""alarm"""	toxen	alarm	True	2	124	781	dictionary/43.4_toxen_alarm.md
43.5	notes	Barcelon			False	0	324	2013	notes/43.5_Barcelon.md
44.1	excerpt	Borrowings from Borlish			False	0	231	1496	excerpt/44.1_Borrowings_from_Borlish.md
44.2	dictionary	"jou follant ""on the fence"""	jou follant	on the fence	True	2	166	1023	dictionary/44.2_jou_follant_on_the_fence.md
44.3	dictionary	"carrug mettr avant naumagl ""get ahead of oneself"""	carrug mettr avant naumagl	get ahead of oneself	True	2	245	1490	dictionary/44.3_carrug_mettr_avant_naumagl_get_ahead_of_oneself.md
44.4	dictionary	"hurstar ""equip"""	hurstar	equip	True	3	156	1006	dictionary/44.4_hurstar_equip.md
44.5	notes	Cordin and Brenna			False	0	258	1492	notes/44.5_Cordin_and_Brenna.md
45.1	excerpt	Early Methodics			False	0	258	1724	excerpt/45.1_Early_Methodics.md
45.2	dictionary	"sortir ag vousc ""to tryst"""	sortir ag vousc	to tryst	True	2	193	1212	dictionary/45.2_sortir_ag_vousc_to_tryst.md
45.3	dictionary	"ollem ""elm"""	ollem	elm	True	2	172	978	dictionary/45.3_ollem_elm.md
45.4	dictionary	"birgasq ""apricot"""	birgasq	apricot	True	4	172	1126	dictionary/45.4_birgasq_apricot.md
45.5	notes	Willemy			False	0	427	2602	notes/45.5_Willemy.md
46.1	notes	Wearing a Mask or a Suit (cont.)			False	0	240	1301	notes/46.1_Wearing_a_Mask_or_a_Suit_cont.md
46.2	dictionary	"bro ""dude"""	bro	dude	True	2	167	1054	dictionary/46.2_bro_dude.md
46.3	dictionary	"descorçar ""peer"""	descorçar	peer	True	3	165	1052	dictionary/46.3_descorçar_peer.md
46.4	dictionary	"gevou ""watch out!"""	gevou	watch out!	True	3	157	1030	dictionary/46.4_gevou_watch_out.md
46.5	notes	Channels			False	0	429	2789	notes/46.5_Channels.md
47.1	excerpt	King James Stew			False	0	254	1451	excerpt/47.1_King_James_Stew.md
47.2	dictionary	"un tarç dagr ""neither fish nor fowl"""	un tarç dagr	neither fish nor fowl	True	3	217	1305	dictionary/47.2_un_tarç_dagr_neither_fish_nor_fowl.md
47.3	dictionary	"haft ""busy"""	haft	busy	True	3	153	922	dictionary/47.3_haft_busy.md
47.4	dictionary	"pallort ""mussel"""	pallort	mussel	True	2	103	683	dictionary/47.4_pallort_mussel.md
47.5	notes	The Modest Arrangement			False	0	281	1829	notes/47.5_The_Modest_Arrangement.md
48.1	excerpt	Study Materials			False	0	246	1461	excerpt/48.1_Study_Materials.md
48.2	dictionary	"flottisc ""fleet"""	flottisc	fleet	True	3	126	772	dictionary/48.2_flottisc_fleet.md
48.3	dictionary	"pernix ""nimble"""	pernix	nimble	True	3	144	983	dictionary/48.3_pernix_nimble.md
48.4	dictionary	1st Lexember			True	2	129	913	dictionary/48.4_1st_Lexember.md
48.5	dictionary	2nd Lexember			True	5	516	3321	dictionary/48.5_2nd_Lexember.md
48.6	dictionary	3rd Lexember			True	3	187	1198	dictionary/48.6_3rd_Lexember.md
48.7	dictionary	4th Lexember			True	2	132	853	dictionary/48.7_4th_Lexember.md
49.1	dictionary	5th Lexember			True	3	390	2235	dictionary/49.1_5th_Lexember.md
49.2	dictionary	6th Lexember			True	4	151	965	dictionary/49.2_6th_Lexember.md
49.3	dictionary	7th Lexember			True	4	152	976	dictionary/49.3_7th_Lexember.md
49.4	dictionary	8th Lexember			True	3	133	810	dictionary/49.4_8th_Lexember.md
49.5	dictionary	9th Lexember			True	3	457	2901	dictionary/49.5_9th_Lexember.md
49.6	dictionary	10th Lexember			True	3	118	745	dictionary/49.6_10th_Lexember.md
49.7	dictionary	11th Lexember			True	3	147	1000	dictionary/49.7_11th_Lexember.md
50.1	dictionary	12th Lexember			True	4	431	2618	dictionary/50.1_12th_Lexember.md
50.2	dictionary	13th Lexember			True	3	175	1136	dictionary/50.2_13th_Lexember.md
50.3	dictionary	14th Lexember			True	3	139	993	dictionary/50.3_14th_Lexember.md
50.4	dictionary	15th Lexember			True	3	137	879	dictionary/50.4_15th_Lexember.md
50.5	dictionary	16th Lexember			True	2	462	2898	dictionary/50.5_16th_Lexember.md
50.6	dictionary	17th Lexember			True	2	131	820	dictionary/50.6_17th_Lexember.md
50.7	dictionary	18th Lexember			True	3	147	862	dictionary/50.7_18th_Lexember.md
51.1	dictionary	19th Lexember			True	3	429	2437	dictionary/51.1_19th_Lexember.md
51.2	dictionary	20th Lexember			True	3	126	815	dictionary/51.2_20th_Lexember.md
51.3	dictionary	21st Lexember			True	2	104	659	dictionary/51.3_21st_Lexember.md
